DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
221307545,3/7/2022 0:00,3/7/2022 0:00,1200,13,Newton,1313,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200 E  14TH                         ST,,34.029,-118.248
220108582,3/19/2022 0:00,3/19/2022 0:00,140,1,Central,185,1,310,BURGLARY,1822 0344 1609 1309,41,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,1000 S  SANTEE                       ST,,34.0389,-118.255
220806523,3/3/2022 0:00,3/3/2022 0:00,745,8,West LA,838,2,860,BATTERY WITH SEXUAL CONTACT,0416 0500 0448,26,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,10900    ROEBLING                     AV,,34.0661,-118.4485
221705879,2/23/2022 0:00,2/23/2022 0:00,1033,17,Devonshire,1798,1,761,BRANDISH WEAPON,1227 1822 0334,41,M,H,101,STREET,207,OTHER KNIFE,IC,Invest Cont,761,,,,8800    HASKELL                      AV,,34.2302,-118.4764
220317972,10/6/2022 0:00,10/6/2022 0:00,1,3,Southwest,394,2,647,THROWING OBJECT AT MOVING VEHICLE,0913 0400,33,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,2600 W  VERNON                       AV,,34.0072,-118.3201
220118971,8/23/2022 0:00,8/21/2022 0:00,230,1,Central,182,1,330,BURGLARY FROM VEHICLE,1307 0329 1822 0344,39,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,330,,,,1200 S  HOPE                         ST,,34.0408,-118.2644
220307537,3/15/2022 0:00,2/14/2022 0:00,2025,3,Southwest,392,2,354,THEFT OF IDENTITY,0100 1822 0930 0929,49,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4900    11TH                         AV,,33.9985,-118.3294
220309038,4/13/2022 0:00,4/13/2022 0:00,1540,3,Southwest,321,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0104 0325 0352 0344,21,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,341,,,,3500 S  LA CIENEGA                   BL,,34.0242,-118.3722
220505021,1/23/2022 0:00,1/22/2022 0:00,155,5,Harbor,581,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0386 0344 0352 1221 1606,30,M,W,104,DRIVEWAY,,,IC,Invest Cont,331,,,,1600 W  27TH                         ST,,33.7224,-118.3147
222006860,3/7/2022 0:00,3/7/2022 0:00,400,20,Olympic,2073,1,648,ARSON,1822 0329,34,F,H,101,STREET,,,IC,Invest Cont,648,,,,2200    VENICE                       BL,,34.0454,-118.3072
220321488,12/7/2022 0:00,12/4/2022 0:00,1900,3,Southwest,359,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0216 0344 1822 1402,21,X,X,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,AA,Adult Arrest,341,,,,3400 S  FIGUEROA                     ST,,34.022,-118.28
221418023,10/22/2022 0:00,10/22/2022 0:00,1155,14,Pacific,1483,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0913 0416 2000,36,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,8700    PERSHING                     DR,,33.9547,-118.4413
221206305,2/12/2022 0:00,2/12/2022 0:00,825,12,77th Street,1263,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1814 0444 0319 0408 1309,41,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,2100 W  80TH                         ST,,33.9664,-118.3156
220316414,9/7/2022 0:00,9/7/2022 0:00,430,3,Southwest,361,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 1818 0421 1202 0319 0432,66,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,,,,3800    NICOLET                      AV,,34.0171,-118.3531
221104033,1/2/2022 0:00,1/1/2022 0:00,2030,11,Northeast,1143,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,2400    LYRIC                        AV,,34.1044,-118.2755
220505258,2/2/2022 0:00,2/1/2022 0:00,1500,5,Harbor,557,1,310,BURGLARY,0311 0329 1609 0344,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310,,,,100 N  GAFFEY                       ST,,33.7433,-118.2923
221305866,2/6/2022 0:00,2/5/2022 0:00,1700,13,Newton,1342,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MARTIN LUTHER KING JR        BL,ADAIR                        ST,34.0112,-118.2691
220218070,10/5/2022 0:00,10/5/2022 0:00,1100,2,Rampart,266,2,662,"BUNCO, GRAND THEFT",1202 1822 0342 0100 0701 1300,0,F,H,102,SIDEWALK,,,IC,Invest Cont,662,,,,8TH,UNION,34.0524,-118.2722
222115484,10/15/2022 0:00,10/15/2022 0:00,1700,21,Topanga,2157,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,21200    KITTRIDGE                    ST,,34.1913,-118.5942
221900970,12/28/2022 0:00,12/27/2022 0:00,1200,19,Mission,1983,1,121,"RAPE, FORCIBLE",1822 2004 1259 1402 0527,15,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,998,,,CHASE,N  SEPULVEDA,34.2246,-118.4677
220706410,3/4/2022 0:00,3/2/2022 0:00,1,7,Wilshire,729,2,354,THEFT OF IDENTITY,0344 0930 0922,29,F,I,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,S  LARCHMONT                    BL,W  1ST,34.0712,-118.3236
221321535,11/27/2022 0:00,11/27/2022 0:00,900,13,Newton,1321,2,624,BATTERY - SIMPLE ASSAULT,0913 1309 0416 0446,48,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,FIGUEROA                     ST,21ST                         ST,34.0323,-118.2734
221508808,4/26/2022 0:00,4/26/2022 0:00,1200,15,N Hollywood,1591,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,O,602,BANK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,740,,,,12200    VENTURA                      BL,,34.1433,-118.3983
221307926,3/14/2022 0:00,3/12/2022 0:00,1800,13,Newton,1317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10TH                         ST,HOOPER                       AV,34.0285,-118.2417
221312023,5/28/2022 0:00,5/28/2022 0:00,2020,13,Newton,1333,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0385 1822 0329 0302 0432,34,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,230,,,,300 E  33RD                         ST,,34.0181,-118.2688
221404765,1/18/2022 0:00,1/18/2022 0:00,1100,14,Pacific,1444,2,624,BATTERY - SIMPLE ASSAULT,0400 0913,43,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,13700    MARINA POINTE                DR,,33.9849,-118.4445
220219478,10/31/2022 0:00,10/31/2022 0:00,900,2,Rampart,236,1,210,ROBBERY,1218 0342 0913 1817 0443 0355,31,M,W,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,VALLEY,LAKE,34.0657,-118.268
221218134,8/21/2022 0:00,8/21/2022 0:00,2240,12,77th Street,1255,2,890,FAILURE TO YIELD,1309,0,X,X,101,STREET,,,IC,Invest Cont,890,,,,76TH                         ST,NORMANDIE                    AV,33.971,-118.3003
220210189,5/11/2022 0:00,5/8/2022 0:00,1500,2,Rampart,299,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,TOBERMAN                     ST,VENICE,34.041,-118.2779
221320591,11/7/2022 0:00,11/7/2022 0:00,1430,13,Newton,1371,2,624,BATTERY - SIMPLE ASSAULT,0416 0913 0361,28,M,W,501,SINGLE FAMILY DWELLING,302,BLUNT INSTRUMENT,IC,Invest Cont,624,,,,100 W  54TH                         ST,,33.9933,-118.274
221416231,9/5/2022 0:00,9/5/2022 0:00,1340,14,Pacific,1443,2,624,BATTERY - SIMPLE ASSAULT,0444 0408 0416,25,M,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2400    PENMAR                       AV,,33.9948,-118.4511
221509462,5/11/2022 0:00,4/29/2022 0:00,800,15,N Hollywood,1504,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,7200    LAUREL CANYON                BL,,34.2015,-118.3965
221318260,9/25/2022 0:00,9/25/2022 0:00,1600,13,Newton,1324,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 0334 0443 0445 0913 0361 0603,43,F,H,102,SIDEWALK,200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,230,,,,1400 E  21ST                         ST,,34.021,-118.2497
222014315,8/26/2022 0:00,8/25/2022 0:00,2000,20,Olympic,2017,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3RD,CATALINA,34.0691,-118.2954
221110989,6/29/2022 0:00,6/29/2022 0:00,1530,11,Northeast,1152,1,210,ROBBERY,0443 0344 0421 1822,38,M,W,101,STREET,511,VERBAL THREAT,IC,Invest Cont,210,,,,SUNSET,MALTMAN,34.0993,-118.2837
221207603,3/8/2022 0:00,3/7/2022 0:00,600,12,77th Street,1245,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0346 1822 0352 1276,32,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,341,,,,1100 W  65TH                         ST,,33.9805,-118.2937
221717655,9/12/2022 0:00,9/11/2022 0:00,200,17,Devonshire,1764,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,31,F,H,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341,,,,9300    TAMPA                        AV,,34.244,-118.5583
220508291,4/14/2022 0:00,4/10/2022 0:00,1000,5,Harbor,515,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1202 1300,67,F,S,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,331,,,,600 W  Q                            ST,,33.7951,-118.2701
221205163,1/23/2022 0:00,1/22/2022 0:00,1940,12,77th Street,1263,1,210,ROBBERY,0342 1822 1309 0334 0312 0308 0421 0432 0344 0371,24,M,B,101,STREET,101,REVOLVER,AA,Adult Arrest,210,,,,8200 S  WESTERN                      AV,,33.9646,-118.309
221104992,1/28/2022 0:00,1/27/2022 0:00,2030,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 50,,34.1036,-118.2011
221416882,9/25/2022 0:00,9/25/2022 0:00,2200,14,Pacific,1498,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,2003 1822 0400 1402 1415,25,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,998,,,11000    LA CIENEGA                   BL,,33.9358,-118.3701
220107773,3/6/2022 0:00,3/3/2022 0:00,2000,1,Central,135,1,330,BURGLARY FROM VEHICLE,0329 1609 1307 1822 0344,34,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330,,,,300 S  SPRING                       ST,,34.0503,-118.247
220506145,2/25/2022 0:00,2/23/2022 0:00,1530,5,Harbor,563,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,900 W  12TH                         ST,,33.7334,-118.2968
220108900,3/23/2022 0:00,3/23/2022 0:00,2000,1,Central,119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0910 0344 1822,71,M,A,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,440,,,,800 N  ALAMEDA                      ST,,34.0561,-118.2375
220600946,10/18/2022 0:00,10/18/2022 0:00,340,6,Hollywood,647,1,648,ARSON,1822 2004 1402 1501,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,648,998,,,1600    VINE                         ST,,34.0998,-118.3267
220118005,8/11/2022 0:00,8/10/2022 0:00,2300,1,Central,162,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0448 0319 2000,26,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,800 S  HILL                         ST,,34.0462,-118.2585
231004093,12/30/2022 0:00,12/30/2022 0:00,1420,10,West Valley,1008,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0344 1822,0,M,O,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,343,,,,16700    ROSCOE                       BL,,34.2203,-118.4959
220206318,2/24/2022 0:00,2/24/2022 0:00,1150,2,Rampart,235,1,350,"THEFT, PERSON",1822 0344 0342 1309 0432,48,F,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,350,,,,PARK VIEW,3RD                          ST,34.0647,-118.2756
221504087,1/2/2022 0:00,1/2/2022 0:00,1740,15,N Hollywood,1512,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344,71,F,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,12700    SHERMAN WAY,,34.2012,-118.4094
220212320,6/23/2022 0:00,6/23/2022 0:00,2230,2,Rampart,261,2,624,BATTERY - SIMPLE ASSAULT,0361 0913 0603 0444,60,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,800 S  CARONDELET                   ST,,34.0568,-118.2821
221514075,8/26/2022 0:00,8/26/2022 0:00,745,15,N Hollywood,1548,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,31,F,H,108,PARKING LOT,,,IC,Invest Cont,420,,,,5400    FAIR                         AV,,34.1681,-118.3743
220309864,5/1/2022 0:00,4/30/2022 0:00,1730,3,Southwest,376,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,3900 S  HARVARD                      BL,,34.0146,-118.3067
221609252,6/7/2022 0:00,6/6/2022 0:00,700,16,Foothill,1638,2,624,BATTERY - SIMPLE ASSAULT,0913 0416,66,F,B,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7600    WYNGATE                      ST,,34.2574,-118.2979
222012421,7/14/2022 0:00,7/14/2022 0:00,1,20,Olympic,2011,1,350,"THEFT, PERSON",0913 0344 1913 0940,27,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,350,,,,100 S  GRAMERCY                     PL,,34.073,-118.3125
